413891;Республика Мордовия, Саранск, Коммунистическая улица, 75;54.185083;45.173814
413892;Республика Мордовия, Саранск, улица Косарева, 50;54.192927;45.237747
476026;Республика Мордовия, Саранск, Вокзальная улица, 7;54.195814;45.190765
553334;Республика Мордовия, Темников, улица Ленина, 49;54.630644;43.218182
554783;Республика Мордовия, Саранск, Лямбирское шоссе, 10Б;54.229243;45.153755
562751;Республика Мордовия, Саранск, проспект 70-летия Октября, 86;54.193117;45.227453
573093;Республика Мордовия, Атюрьевский район, село Атюрьево, Центральная улица, 5;54.320825;43.334289
582783;Республика Мордовия, Саранск, Александровское шоссе, 7;54.212177;45.205579
584569;Республика Мордовия, Саранск, Строительная улица, 6;54.204457;45.167526
584581;Республика Мордовия, Саранск, Александровское шоссе, 22;54.233832;45.212136
584598;Республика Мордовия, Саранск, Волгоградская улица, 71;54.185631;45.216915
584601;Республика Мордовия, Саранск, Ботевградская улица, 20;54.183186;45.170724
584605;Республика Мордовия, Ковылкино, улица Фролова, 14;54.029328;43.90551
593889;Республика Мордовия, Саранск, улица Коваленко, 7;54.219605;45.120544
593896;Республика Мордовия, Саранск, Московская улица, 74;54.170834;45.188475
663867;Республика Мордовия, Рузаевка, Солнечная улица, 17;54.035521;44.926086
663868;Республика Мордовия, Рузаевка, Солнечная улица, 17;54.035521;44.926086
663869;Республика Мордовия, Рузаевка, Солнечная улица, 17;54.035521;44.926086
686165;Республика Мордовия, Саранск, проспект 70-летия Октября, 86;54.193117;45.227453
694277;Республика Мордовия, Саранск, бульвар Эрьзи, 12;54.197626;45.24947
694284;Республика Мордовия, Саранск, Коммунистическая улица, 52;54.184029;45.179069
729773;Республика Мордовия, Саранск, улица Степана Разина, 37Б;54.192195;45.166053
729817;Республика Мордовия, Ромодановский район, посёлок городского типа Ромоданово, Центральная улица, 11;54.421575;45.332466
754631;Республика Мордовия, Саранск, улица Воинова, 27;54.217668;45.114696
756548;Республика Мордовия, Большеберезниковский район, село Большие Березники, улица Ленина, 76;54.171339;45.95966
772006;Республика Мордовия, Саранск, Советская улица, 55А;54.182174;45.180399
784172;Республика Мордовия, Саранск, Строительная улица, 3;54.205036;45.173051
784174;Республика Мордовия, Саранск, проспект 70-летия Октября, 86;54.193117;45.227453
798089;Республика Мордовия, Старошайговский район, село Старое Шайгово, Рабочая улица, 6;54.304789;44.466517
805869;Республика Мордовия, Ромодановский район, посёлок городского типа Ромоданово, Хлебное шоссе;54.415131;45.378998
901427;Республика Мордовия, Краснослободск, Кировский переулок, 8;54.43193;43.778605
901430;Республика Мордовия, Зубово-Полянский район, посёлок городского типа Зубова Поляна, Советская улица, 30А;54.076545;42.83399
924576;Республика Мордовия, Саранск, Северо-Восточное шоссе, 15;54.214488;45.251536
951993;Республика Мордовия, городской округ Саранск, посёлок Озёрный, Тепличная улица;54.229748;45.287298
